a,b,c
-0.7851885,-0.46508041,0.45959717
-0.78462476,-0.46461096,0.35971451
-0.78462476,-0.46461096,0.35971451
-0.71339619,-0.48544347,0.56028527
-0.7630561,-0.48524794,0.45978993
-0.7625162,-0.48477226,0.35990632
-0.7625162,-0.48477226,0.35990632
-0.7260887,-0.45665553,0.56042856
-0.77575219,-0.45648697,0.4599309
-0.77520269,-0.45601076,0.36008841
-0.77520269,-0.45601076,0.36008841
-0.74190009,-0.47582614,0.56020981
-0.79155523,-0.47564533,0.45969713
-0.79100382,-0.47518253,0.35981822
-0.79100382,-0.47518253,0.35981822
-0.71224308,-0.47928208,0.5606001
-0.76192272,-0.47911581,0.46012074
-0.76140881,-0.47866744,0.36023611
-0.76140881,-0.47866744,0.36023611
-0.74626458,-0.48663104,0.56033438
-0.79593223,-0.48646247,0.45982462
-0.79538286,-0.48598027,0.3599903
-0.79538286,-0.48598027,0.3599903
-0.74229395,-0.47219315,0.56055015
-0.79197377,-0.47204328,0.46005225
-0.7914505,-0.47160974,0.36016941
-0.7914505,-0.47160974,0.36016941
-0.70908749,-0.46948493,0.56093425
-0.7587958,-0.46935502,0.46044749
-0.758304,-0.46893468,0.36055803
-0.758304,-0.46893468,0.36055803
-0.72249877,-0.45925987,0.56093282
-0.77220041,-0.45913488,0.4604606
-0.77169818,-0.45869616,0.3606174
-0.77169818,-0.45869616,0.3606174
-0.75169563,-0.45727476,0.5607633
-0.80139071,-0.4571518,0.46026891
-0.80087107,-0.45671427,0.36043292
-0.80087107,-0.45671427,0.36043292
-0.7252323,-0.47268042,0.56102091
-0.77494335,-0.47256136,0.46055186
-0.7744633,-0.47215524,0.36066389
-0.7744633,-0.47215524,0.36066389
-0.72664165,-0.45572466,0.56123632
-0.77636677,-0.45562875,0.4607721
-0.77589905,-0.4552457,0.36088598
-0.77589905,-0.4552457,0.36088598
-0.55938637,-0.65698493,0.56182092
-0.65971738,-0.65683722,0.51094943
-0.65883511,-0.65603268,0.36067516
-0.65883511,-0.65603268,0.36067516
-0.57965368,-0.67739725,0.56113774
-0.67975575,-0.67737877,0.51025718
-0.67897934,-0.67656946,0.36017311
-0.67897934,-0.67656946,0.36017311
-0.59741485,-0.66065925,0.56131738
-0.69758201,-0.66060346,0.51040262
-0.69679582,-0.65983987,0.36033839
-0.69679582,-0.65983987,0.36033839
-0.58586979,-0.65762693,0.56150872
-0.68594623,-0.65758467,0.51062852
-0.68518388,-0.65677583,0.36076701
-0.68518388,-0.65677583,0.36076701
-0.55825925,-0.67313796,0.56182128
-0.65831929,-0.67310321,0.51099163
-0.65764797,-0.67237091,0.36099488
-0.65764797,-0.67237091,0.36099488
-0.575324,-0.68257177,0.56207639
-0.67536002,-0.68257612,0.51121527
-0.67467183,-0.68182921,0.36120516
-0.67467183,-0.68182921,0.36120516
-0.58412838,-0.68203914,0.56179434
-0.68421543,-0.68204659,0.51094085
-0.68348861,-0.68131709,0.36096621
-0.68348861,-0.68131709,0.36096621
-0.56128967,-0.65800905,0.56450015
-0.66136938,-0.65803504,0.51370972
-0.66070652,-0.65734947,0.36378616
-0.66070652,-0.65734947,0.36378616
-0.57609487,-0.66535014,0.56147939
-0.67617744,-0.66536552,0.51067334
-0.67551863,-0.66470033,0.36075819
-0.67551863,-0.66470033,0.36075819
-0.58656573,-0.67683178,0.56264001
-0.68665862,-0.67684674,0.51183027
-0.68599576,-0.67617315,0.36196911
-0.68599576,-0.67617315,0.36196911
-0.58982289,-0.69091368,0.56254214
-0.68995136,-0.69096857,0.51173705
-0.6893124,-0.69049293,0.36176038
-0.6893124,-0.69049293,0.36176038
-0.5664013,-0.67833346,0.56984955
-0.6664716,-0.67839271,0.51909643
-0.66585934,-0.67775309,0.3692205
-0.66585934,-0.67775309,0.3692205
-0.59879005,-0.69178122,0.56418639
-0.69887733,-0.69183421,0.51339227
-0.69823062,-0.69119281,0.36354649
-0.69823062,-0.69119281,0.36354649
-0.57136744,-0.65574491,0.56843096
-0.67144763,-0.6558314,0.51770633
-0.67087662,-0.65529794,0.36782306
-0.67087662,-0.65529794,0.36782306
-0.59029812,-0.69024915,0.56314701
-0.69038218,-0.69033176,0.51239568
-0.68979394,-0.68974328,0.36258149
-0.68979394,-0.68974328,0.36258149
-0.58352864,-0.66319025,0.56347007
-0.68361253,-0.66329187,0.51275247
-0.68305576,-0.66278195,0.36289144
-0.68305576,-0.66278195,0.36289144
-0.56874812,-0.66220617,0.56379396
-0.66881597,-0.66232687,0.51311105
-0.6682927,-0.66184574,0.36326307
-0.6682927,-0.66184574,0.36326307
-0.59358764,-0.67045844,0.56374735
-0.69366872,-0.67058867,0.51304156
-0.69314229,-0.67013466,0.36316413
-0.69314229,-0.67013466,0.36316413
-0.57951576,-0.67920244,0.56639415
-0.67959356,-0.67933857,0.51571256
-0.67908698,-0.67886591,0.36588687
-0.67908698,-0.67886591,0.36588687
-0.5587483,-0.68136388,0.56651479
-0.65881288,-0.6815064,0.51587957
-0.65833598,-0.68106246,0.36606151
-0.65833598,-0.68106246,0.36606151
